spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
6393yGahSJ9slVdOwSxOVR,Pink Pony Club,Chappell Roan,39,2,8,BE,3/1/25,81,FALSE,258034,The Rise and Fall of a Midwest Princess,9/21/23,0.61,0.65,6,-6.199,1,0.0474,0.399,0,0.11,0.507,106.719,4
32cwemsMJdzzsOYjVzfYMS,Mauvais Garçon,Helena,40,-2,1,BE,3/1/25,69,FALSE,162706,Mauvais Garçon,11/20/24,0.71,0.414,3,-7.704,0,0.119,0.434,0.034,0.106,0.679,96.937,4
4QNpBfC0zvjKqPJcyqBy9W,Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer",41,8,9,BE,3/1/25,82,FALSE,252306,Planet Pit (Deluxe Version),6/17/11,0.671,0.939,8,-3.206,1,0.161,0.191,0,0.298,0.53,129.024,4
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,42,-2,3,BE,3/1/25,89,FALSE,218423,"Good Luck, Babe!",4/5/24,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
6GOOcBV0wLoHrH5D9AWA32,Say My Name - Remix,"Morgan Seatree, Florence + The Machine",43,7,7,BE,3/1/25,74,FALSE,168000,Say My Name (Remix),12/6/24,0.48,0.954,11,-4.078,0,0.079,0.0164,0.000594,0.1,0.471,140.067,4
6JFw2mbcNfoFXnrk6AxGK6,Mood,KeBlack,44,6,6,BE,3/1/25,50,TRUE,171537,Mood,2/27/25,0.532,0.677,11,-7.944,0,0.239,0.204,0.217,0.126,0.646,127.099,4
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,45,1,1,BE,3/1/25,88,FALSE,195824,Si Antes Te Hubiera Conocido,6/21/24,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4
2FAZskT9yRjp2Oow9szJD8,The Days - NOTION Remix,"Chrystal, NOTION",46,4,4,BE,3/1/25,84,FALSE,233229,The Days (NOTION Remix),11/8/24,0.62,0.843,6,-5.321,0,0.0844,0.0062,4.63E-06,0.55,0.237,137.812,4
6waAB6UXCmo4nQOpqZ1n4b,CARRÉ OK,"Soolking, GIMS",47,3,3,BE,3/1/25,53,FALSE,160628,Africa Jungle Part.1,2/20/25,0.744,0.687,5,-6.918,0,0.0439,0.293,6.21E-06,0.117,0.573,119.977,4
1BJJbSX6muJVF2AK7uH1x4,Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",48,2,0,BE,3/1/25,80,FALSE,177598,Move,6/7/24,0.727,0.782,8,-8.529,0,0.042,0.0563,0.336,0.225,0.655,119.992,4
3Fcfwhm8oRrBvBZ8KGhtea,Viva La Vida,Coldplay,49,-7,1,BE,3/1/25,69,FALSE,242373,Viva La Vida or Death and All His Friends,6/19/08,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23E-06,0.109,0.417,138.015,4
1Mzg6bu3hkCwJKEf7v49MN,CARTIER SANTOS,SDM,50,-5,0,BE,3/1/25,72,TRUE,183813,A LA VIE A LA MORT,9/26/24,0.489,0.586,9,-7.218,0,0.327,0.0837,0,0.162,0.0892,89.493,4
1RiCNSkK4AfT1j8ZM4JnVs,CIEL,GIMS,1,1,3,BE,2/28/25,71,FALSE,186461,LE NORD SE SOUVIENT,11/21/24,0.797,0.605,4,-9.587,0,0.0769,0.129,0,0.13,0.874,129.933,4
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",2,-1,-1,BE,2/28/25,87,FALSE,169917,rosie,12/6/24,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,3,0,-1,BE,2/28/25,84,TRUE,284066,This Wasn't Meant For You Anyway,6/21/24,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",4,0,-1,BE,2/28/25,96,FALSE,251667,Die With A Smile,8/16/24,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,5,0,0,BE,2/28/25,92,TRUE,166300,The Secret of Us (Deluxe),10/18/24,0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
2uBKQbVcw8G9m34lGYM6VA,NINAO,GIMS,6,0,44,BE,2/28/25,46,FALSE,167813,LE NORD SE SOUVIENT : L'ODYSSÉE,2/20/25,0.805,0.57,7,-9.007,0,0.101,0.175,3.38E-06,0.115,0.867,122.984,4
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,7,0,0,BE,2/28/25,94,FALSE,210373,HIT ME HARD AND SOFT,5/17/24,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,8,0,-2,BE,2/28/25,92,TRUE,274192,Not Like Us,5/4/24,0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
0yyFAbTlOk7DFhh6RSug9S,SOIS PAS TIMIDE,GIMS,9,0,3,BE,2/28/25,72,FALSE,165978,LE NORD SE SOUVIENT,9/13/24,0.917,0.658,1,-7.253,1,0.0933,0.0896,9.78E-06,0.0733,0.795,127.936,4
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,10,1,-2,BE,2/28/25,85,FALSE,180304,Fireworks & Rollerblades,4/5/24,0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,3
6qqrTXSdwiJaq8SO0X2lSe,Ordinary,Alex Warren,11,-1,3,BE,2/28/25,83,FALSE,186964,Ordinary,2/7/25,0.446,0.682,2,-6.229,1,0.0497,0.739,9.51E-06,0.0562,0.382,112.252,4
5NWpquAje6NyvxD57oXNu6,SPIDER,"GIMS, DYSTINCT",12,1,3,BE,2/28/25,71,FALSE,188818,LE NORD SE SOUVIENT,9/13/24,0.823,0.691,9,-7.322,0,0.197,0.0774,1.73E-06,0.1,0.707,119.96,4
3BntzKsnLf2pc0dsvE3Zav,Bad Dreams,Teddy Swims,13,1,0,BE,2/28/25,79,FALSE,184577,I've Tried Everything But Therapy (Part 2),1/24/25,0.707,0.68,8,-6.203,1,0.0884,0.274,0,0.0932,0.62,125.058,4
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,14,-2,-3,BE,2/28/25,90,FALSE,211978,Sailor Song,7/26/24,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72E-05,0.193,0.273,94.938,4
6lGSvbcSYpjgfsCaUc7Djo,DIANA,GIMS,15,1,35,BE,2/28/25,68,FALSE,139200,LE NORD SE SOUVIENT : L'ODYSSÉE,12/13/24,0.506,0.413,10,-8.794,0,0.141,0.335,3.19E-05,0.103,0.437,127.211,5
3sK8wGT43QFpWrvNQsrQya,DtMF,Bad Bunny,16,-1,-7,BE,2/28/25,94,TRUE,237117,DeBÍ TiRAR MáS FOToS,1/5/25,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
4liOLSxxEllQ61qaR4pFJL,Pélican,L2B,17,0,33,BE,2/28/25,57,TRUE,165653,Nés Pour Briller : Book I,2/20/25,0.825,0.554,5,-9.631,0,0.395,0.239,0,0.0459,0.763,93.021,3
541sN2qNfIlllGn9nGOQoC,Revolving door,Tate McRae,18,1,32,BE,2/28/25,79,TRUE,180032,So Close To What,2/21/25,0.452,0.737,6,-6.22,1,0.27,0.354,0,0.105,0.179,147.822,4
2z9FUHRkbkV4BObNzbHsFU,Born With a Broken Heart,Damiano David,19,4,-2,BE,2/28/25,77,FALSE,208956,Born With a Broken Heart,10/25/24,0.326,0.834,11,-3.189,1,0.0536,0.00108,0,0.101,0.59,171.758,4
2VyvDGdcVY04cNYou9MFVX,Dirty Cash (Money Talks),"PAWSA, The Adventures Of Stevie V",20,-2,-4,BE,2/28/25,78,FALSE,221448,Dirty Cash (Money Talks),11/15/24,0.783,0.473,0,-6.493,1,0.167,0.0693,3.40E-05,0.149,0.539,131.89,4
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),"Kendrick Lamar, SZA",21,-1,-11,BE,2/28/25,90,TRUE,232186,Black Panther The Album Music From And Inspired By,2/9/18,0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,4
3hRV0jL3vUpRrcy398teAU,The Night We Met,Lord Huron,22,2,-2,BE,2/28/25,85,FALSE,208211,Strange Trails,4/6/15,0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
5ZLUm9eab8y3tqQ1OhQSHI,Abracadabra,Lady Gaga,23,2,-2,BE,2/28/25,89,FALSE,223398,Abracadabra,2/3/25,0.68,0.909,10,-3.487,0,0.0624,0.0121,0,0.222,0.633,126.004,4
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,24,-3,-5,BE,2/28/25,90,FALSE,261466,HIT ME HARD AND SOFT,5/17/24,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
4il87YHqSV9UqbBkXM7z7m,Sports car,Tate McRae,25,-3,25,BE,2/28/25,75,FALSE,165045,So Close To What,2/21/25,0.861,0.815,11,-3.672,0,0.0342,0.0527,0.00127,0.1,0.897,106.986,4
2LwsunYgfRoqyIsNtgOCQx,Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",26,3,24,BE,2/28/25,79,FALSE,147973,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),11/23/24,0.678,0.604,4,-7.926,0,0.0962,0.00465,0.000936,0.278,0.374,88,4
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,27,-1,-4,BE,2/28/25,85,FALSE,210688,I've Tried Everything But Therapy (Part 1),9/15/23,0.561,0.604,9,-4.409,1,0.0337,0.199,1.90E-05,0.104,0.242,159.92,3
2A1aS3mwuGuX2yk1bgxOvA,Kisses (feat. bbyclose),"BL3SS, CamrinWatsin, bbyclose",28,0,-6,BE,2/28/25,80,FALSE,138246,Kisses (feat. bbyclose),3/22/24,0.793,0.779,9,-4.609,0,0.0581,0.279,0.000311,0.314,0.687,142.002,4
5o0osRx8kYJTOqlOSggr9Z,Carry You Home,Alex Warren,29,1,-4,BE,2/28/25,80,FALSE,166880,"You'll Be Alright, Kid (Chapter 1)",9/27/24,0.525,0.66,10,-7.094,1,0.111,0.468,3.30E-06,0.128,0.458,123.787,4
0qlYaRFGvgR6afy1f4BBwD,NANANI NANANA,Gazo,30,-3,3,BE,2/28/25,75,TRUE,217693,APOCALYPSE,11/29/24,0.638,0.423,6,-11.952,0,0.0513,0.346,0.00333,0.0829,0.188,86.92,4
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,31,1,19,BE,2/28/25,82,TRUE,244360,Long Way Down (Deluxe),6/24/13,0.445,0.537,4,-8.532,0,0.04,0.695,1.65E-05,0.0944,0.131,122.769,4
22skzmqfdWrjJylampe0kt,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",32,-1,4,BE,2/28/25,80,FALSE,258431,The Heist,10/9/12,0.633,0.927,2,-4.468,1,0.0839,0.0267,0,0.0986,0.88,146.097,4
6PcVlezWXunO2Bh78iEq0W,Feel Good,Charlotte Cardin,33,2,17,BE,2/28/25,64,FALSE,163472,Feel Good,9/15/23,0.727,0.644,6,-5.514,0,0.0545,0.1,0,0.0896,0.688,111.078,4
1EDPVGbyPKJPeGqATwXZvN,The Emptiness Machine,Linkin Park,34,2,-5,BE,2/28/25,79,TRUE,190427,From Zero,11/15/24,0.466,0.872,7,-3.344,1,0.0336,0.0156,0,0.121,0.806,184.115,4
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,35,-2,-9,BE,2/28/25,85,TRUE,175459,Short n' Sweet,8/23/24,0.699,0.776,0,-5.282,1,0.0293,0.131,5.36E-06,0.205,0.708,103.963,4
5nPbKG04fhLkIAjcPFaZq7,I Adore You (feat. Daecolm),"HUGEL, Topic, Arash, Daecolm",36,1,-1,BE,2/28/25,80,FALSE,214000,I Adore You (feat. Daecolm),7/19/24,0.704,0.787,11,-6.751,0,0.0462,0.00926,0.00538,0.159,0.31,119.996,4
4MSj19TwYBLgDFj3ddEeco,Black Friday (pretty like the sun),"Lost Frequencies, Tom Odell",37,-3,-7,BE,2/28/25,78,FALSE,145599,Black Friday (pretty like the sun),7/19/24,0.853,0.618,6,-10.833,1,0.0923,0.633,0.89,0.0972,0.32,126.031,4
32cwemsMJdzzsOYjVzfYMS,Mauvais Garçon,Helena,38,4,-1,BE,2/28/25,70,FALSE,162706,Mauvais Garçon,11/20/24,0.71,0.414,3,-7.704,0,0.119,0.434,0.034,0.106,0.679,96.937,4
3FjK86616FbluOfTxNK2gY,A N X I E T Y (feat. Doechii),"Sleepy Hallow, Doechii",39,11,11,BE,2/28/25,70,TRUE,148928,Boy Meets World,9/15/23,0.931,0.401,0,-8.756,1,0.158,0.399,2.05E-06,0.266,0.613,128.871,4
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,40,-1,-8,BE,2/28/25,90,FALSE,218423,"Good Luck, Babe!",4/5/24,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
6393yGahSJ9slVdOwSxOVR,Pink Pony Club,Chappell Roan,41,0,0,BE,2/28/25,81,FALSE,258034,The Rise and Fall of a Midwest Princess,9/21/23,0.61,0.65,6,-6.199,1,0.0474,0.399,0,0.11,0.507,106.719,4
3Fcfwhm8oRrBvBZ8KGhtea,Viva La Vida,Coldplay,42,8,8,BE,2/28/25,69,FALSE,242373,Viva La Vida or Death and All His Friends,6/19/08,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23E-06,0.109,0.417,138.015,4
0rtDE9zfXbamTlRUSwY7zy,Belong Together,Mark Ambor,43,-5,0,BE,2/28/25,78,FALSE,148317,Rockwood,8/16/24,0.646,0.668,2,-5.203,1,0.0282,0.491,0,0.212,0.64,90.97,4
0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",44,1,-10,BE,2/28/25,82,TRUE,256000,Hurry Up Tomorrow,1/31/25,0.768,0.775,11,-5.06,0,0.0466,0.069,2.96E-06,0.138,0.6,119.999,4
1Mzg6bu3hkCwJKEf7v49MN,CARTIER SANTOS,SDM,45,-1,2,BE,2/28/25,72,TRUE,183813,A LA VIE A LA MORT,9/26/24,0.489,0.586,9,-7.218,0,0.327,0.0837,0,0.162,0.0892,89.493,4
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,46,0,-4,BE,2/28/25,88,FALSE,195824,Si Antes Te Hubiera Conocido,6/21/24,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",47,-4,-23,BE,2/28/25,89,FALSE,177598,GNX,11/21/24,0.707,0.575,2,-7.546,1,0.125,0.251,0,0.248,0.576,138.008,4
6eWAWHm0cuOaPGDWhoLJ7s,Nice To Meet You,Myles Smith,48,2,-8,BE,2/28/25,72,FALSE,176000,Nice To Meet You (Mistletoe Version),12/13/24,0.762,0.783,5,-5.206,0,0.0387,0.329,0,0.0536,0.84,115.091,4
4QNpBfC0zvjKqPJcyqBy9W,Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer",49,1,1,BE,2/28/25,82,FALSE,252306,Planet Pit (Deluxe Version),6/17/11,0.671,0.939,8,-3.206,1,0.161,0.191,0,0.298,0.53,129.024,4
2FAZskT9yRjp2Oow9szJD8,The Days - NOTION Remix,"Chrystal, NOTION",50,0,-6,BE,2/28/25,85,FALSE,233229,The Days (NOTION Remix),11/8/24,0.62,0.843,6,-5.321,0,0.0844,0.0062,4.63E-06,0.55,0.237,137.812,4
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",1,1,0,BE,2/27/25,88,FALSE,169917,rosie,12/6/24,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
1RiCNSkK4AfT1j8ZM4JnVs,CIEL,GIMS,2,-1,3,BE,2/27/25,71,FALSE,186461,LE NORD SE SOUVIENT,11/21/24,0.797,0.605,4,-9.587,0,0.0769,0.129,0,0.13,0.874,129.933,4
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,3,0,-1,BE,2/27/25,84,TRUE,284066,This Wasn't Meant For You Anyway,6/21/24,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",4,0,-1,BE,2/27/25,97,FALSE,251667,Die With A Smile,8/16/24,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,5,0,-1,BE,2/27/25,92,TRUE,166300,The Secret of Us (Deluxe),10/18/24,0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
2uBKQbVcw8G9m34lGYM6VA,NINAO,GIMS,6,3,44,BE,2/27/25,31,FALSE,167813,LE NORD SE SOUVIENT : L'ODYSSÉE,2/20/25,0.805,0.57,7,-9.007,0,0.101,0.175,3.38E-06,0.115,0.867,122.984,4
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,7,0,0,BE,2/27/25,94,FALSE,210373,HIT ME HARD AND SOFT,5/17/24,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,8,-2,-2,BE,2/27/25,92,TRUE,274192,Not Like Us,5/4/24,0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
0yyFAbTlOk7DFhh6RSug9S,SOIS PAS TIMIDE,GIMS,9,-1,4,BE,2/27/25,72,FALSE,165978,LE NORD SE SOUVIENT,9/13/24,0.917,0.658,1,-7.253,1,0.0933,0.0896,9.78E-06,0.0733,0.795,127.936,4
6qqrTXSdwiJaq8SO0X2lSe,Ordinary,Alex Warren,10,1,4,BE,2/27/25,83,FALSE,186964,Ordinary,2/7/25,0.446,0.682,2,-6.229,1,0.0497,0.739,9.51E-06,0.0562,0.382,112.252,4
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,11,-1,-2,BE,2/27/25,85,FALSE,180304,Fireworks & Rollerblades,4/5/24,0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,3
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,12,1,-2,BE,2/27/25,90,FALSE,211978,Sailor Song,7/26/24,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72E-05,0.193,0.273,94.938,4
5NWpquAje6NyvxD57oXNu6,SPIDER,"GIMS, DYSTINCT",13,-1,4,BE,2/27/25,71,FALSE,188818,LE NORD SE SOUVIENT,9/13/24,0.823,0.691,9,-7.322,0,0.197,0.0774,1.73E-06,0.1,0.707,119.96,4
3BntzKsnLf2pc0dsvE3Zav,Bad Dreams,Teddy Swims,14,0,-2,BE,2/27/25,79,FALSE,184577,I've Tried Everything But Therapy (Part 2),1/24/25,0.707,0.68,8,-6.203,1,0.0884,0.274,0,0.0932,0.62,125.058,4
3sK8wGT43QFpWrvNQsrQya,DtMF,Bad Bunny,15,0,-4,BE,2/27/25,95,TRUE,237117,DeBÍ TiRAR MáS FOToS,1/5/25,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
6lGSvbcSYpjgfsCaUc7Djo,DIANA,GIMS,16,1,34,BE,2/27/25,68,FALSE,139200,LE NORD SE SOUVIENT : L'ODYSSÉE,12/13/24,0.506,0.413,10,-8.794,0,0.141,0.335,3.19E-05,0.103,0.437,127.211,5
4liOLSxxEllQ61qaR4pFJL,Pélican,L2B,17,-1,33,BE,2/27/25,52,TRUE,165653,Nés Pour Briller : Book I,2/20/25,0.825,0.554,5,-9.631,0,0.395,0.239,0,0.0459,0.763,93.021,3
2VyvDGdcVY04cNYou9MFVX,Dirty Cash (Money Talks),"PAWSA, The Adventures Of Stevie V",18,3,-3,BE,2/27/25,79,FALSE,221448,Dirty Cash (Money Talks),11/15/24,0.783,0.473,0,-6.493,1,0.167,0.0693,3.40E-05,0.149,0.539,131.89,4
541sN2qNfIlllGn9nGOQoC,Revolving door,Tate McRae,19,0,31,BE,2/27/25,77,TRUE,180032,So Close To What,2/21/25,0.452,0.737,6,-6.22,1,0.27,0.354,0,0.105,0.179,147.822,4
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),"Kendrick Lamar, SZA",20,-2,-12,BE,2/27/25,90,TRUE,232186,Black Panther The Album Music From And Inspired By,2/9/18,0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,4
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,21,3,-5,BE,2/27/25,91,FALSE,261466,HIT ME HARD AND SOFT,5/17/24,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
4il87YHqSV9UqbBkXM7z7m,Sports car,Tate McRae,22,1,28,BE,2/27/25,72,FALSE,165045,So Close To What,2/21/25,0.861,0.815,11,-3.672,0,0.0342,0.0527,0.00127,0.1,0.897,106.986,4
2z9FUHRkbkV4BObNzbHsFU,Born With a Broken Heart,Damiano David,23,-1,-5,BE,2/27/25,78,FALSE,208956,Born With a Broken Heart,10/25/24,0.326,0.834,11,-3.189,1,0.0536,0.00108,0,0.101,0.59,171.758,4
3hRV0jL3vUpRrcy398teAU,The Night We Met,Lord Huron,24,2,-3,BE,2/27/25,85,FALSE,208211,Strange Trails,4/6/15,0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
5ZLUm9eab8y3tqQ1OhQSHI,Abracadabra,Lady Gaga,25,-5,-5,BE,2/27/25,90,FALSE,223398,Abracadabra,2/3/25,0.68,0.909,10,-3.487,0,0.0624,0.0121,0,0.222,0.633,126.004,4
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,26,2,-3,BE,2/27/25,86,FALSE,210688,I've Tried Everything But Therapy (Part 1),9/15/23,0.561,0.604,9,-4.409,1,0.0337,0.199,1.90E-05,0.104,0.242,159.92,3
0qlYaRFGvgR6afy1f4BBwD,NANANI NANANA,Gazo,27,0,2,BE,2/27/25,75,TRUE,217693,APOCALYPSE,11/29/24,0.638,0.423,6,-11.952,0,0.0513,0.346,0.00333,0.0829,0.188,86.92,4
2A1aS3mwuGuX2yk1bgxOvA,Kisses (feat. bbyclose),"BL3SS, CamrinWatsin, bbyclose",28,1,-6,BE,2/27/25,80,FALSE,138246,Kisses (feat. bbyclose),3/22/24,0.793,0.779,9,-4.609,0,0.0581,0.279,0.000311,0.314,0.687,142.002,4
2LwsunYgfRoqyIsNtgOCQx,Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",29,21,21,BE,2/27/25,79,FALSE,147973,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),11/23/24,0.678,0.604,4,-7.926,0,0.0962,0.00465,0.000936,0.278,0.374,88,4
5o0osRx8kYJTOqlOSggr9Z,Carry You Home,Alex Warren,30,0,-3,BE,2/27/25,80,FALSE,166880,"You'll Be Alright, Kid (Chapter 1)",9/27/24,0.525,0.66,10,-7.094,1,0.111,0.468,3.30E-06,0.128,0.458,123.787,4
22skzmqfdWrjJylampe0kt,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",31,2,8,BE,2/27/25,80,FALSE,258431,The Heist,10/9/12,0.633,0.927,2,-4.468,1,0.0839,0.0267,0,0.0986,0.88,146.097,4
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,32,18,18,BE,2/27/25,82,TRUE,244360,Long Way Down (Deluxe),6/24/13,0.445,0.537,4,-8.532,0,0.04,0.695,1.65E-05,0.0944,0.131,122.769,4
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,33,3,-8,BE,2/27/25,85,TRUE,175459,Short n' Sweet,8/23/24,0.699,0.776,0,-5.282,1,0.0293,0.131,5.36E-06,0.205,0.708,103.963,4
4MSj19TwYBLgDFj3ddEeco,Black Friday (pretty like the sun),"Lost Frequencies, Tom Odell",34,0,-6,BE,2/27/25,79,FALSE,145599,Black Friday (pretty like the sun),7/19/24,0.853,0.618,6,-10.833,1,0.0923,0.633,0.89,0.0972,0.32,126.031,4
6PcVlezWXunO2Bh78iEq0W,Feel Good,Charlotte Cardin,35,15,15,BE,2/27/25,64,FALSE,163472,Feel Good,9/15/23,0.727,0.644,6,-5.514,0,0.0545,0.1,0,0.0896,0.688,111.078,4
1EDPVGbyPKJPeGqATwXZvN,The Emptiness Machine,Linkin Park,36,-1,-5,BE,2/27/25,79,TRUE,190427,From Zero,11/15/24,0.466,0.872,7,-3.344,1,0.0336,0.0156,0,0.121,0.806,184.115,4
5nPbKG04fhLkIAjcPFaZq7,I Adore You (feat. Daecolm),"HUGEL, Topic, Arash, Daecolm",37,3,3,BE,2/27/25,80,FALSE,214000,I Adore You (feat. Daecolm),7/19/24,0.704,0.787,11,-6.751,0,0.0462,0.00926,0.00538,0.159,0.31,119.996,4
0rtDE9zfXbamTlRUSwY7zy,Belong Together,Mark Ambor,38,11,0,BE,2/27/25,78,FALSE,148317,Rockwood,8/16/24,0.646,0.668,2,-5.203,1,0.0282,0.491,0,0.212,0.64,90.97,4
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,39,0,-4,BE,2/27/25,90,FALSE,218423,"Good Luck, Babe!",4/5/24,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,40,6,1,BE,2/27/25,83,FALSE,242373,Viva La Vida or Death and All His Friends,6/6/08,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23E-06,0.109,0.417,138.015,4
6393yGahSJ9slVdOwSxOVR,Pink Pony Club,Chappell Roan,41,-3,2,BE,2/27/25,81,FALSE,258034,The Rise and Fall of a Midwest Princess,9/21/23,0.61,0.65,6,-6.199,1,0.0474,0.399,0,0.11,0.507,106.719,4
32cwemsMJdzzsOYjVzfYMS,Mauvais Garçon,Helena,42,-5,-6,BE,2/27/25,70,FALSE,162706,Mauvais Garçon,11/20/24,0.71,0.414,3,-7.704,0,0.119,0.434,0.034,0.106,0.679,96.937,4
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",43,-2,-19,BE,2/27/25,89,FALSE,177598,GNX,11/21/24,0.707,0.575,2,-7.546,1,0.125,0.251,0,0.248,0.576,138.008,4
1Mzg6bu3hkCwJKEf7v49MN,CARTIER SANTOS,SDM,44,1,5,BE,2/27/25,72,TRUE,183813,A LA VIE A LA MORT,9/26/24,0.489,0.586,9,-7.218,0,0.327,0.0837,0,0.162,0.0892,89.493,4
